text,meta,sentence_id,sentiment
Our franchise operations as a group grew internally at a mid-single-digit range.,"{'company_name': 'Colliers International Group Inc', 'economic_sector': 'Real Estate', 'date': '30-Jan-2007', 'event_name': 'Q3 2007 FirstService Earnings Conference Call', 'tokenized': ['Our', 'franchise', 'operations', 'as', 'a', 'group', 'grew', 'internally', 'at', 'a', 'mid', '-', 'single', '-', 'digit', 'range', '.'], 'sentence_id': '038E425B-EDDF-4E64-A76E-F32D89BB859B_000_003_026_001'}",038E425B-EDDF-4E64-A76E-F32D89BB859B_000_003_026_001,1
"And Jim, I would just add -- water management costs were just over $10 million in the quarter, which would have been up significantly versus last year, Don.","{'company_name': 'Mosaic Co', 'economic_sector': 'Basic Materials', 'date': '09-Oct-2007', 'event_name': 'Q1 2008 The Mosaic Company Earnings Conference Call', 'tokenized': ['And', 'Jim', ',', 'I', 'would', 'just', 'add', '--', 'water', 'management', 'costs', 'were', 'just', 'over', '$', '10', 'million', 'in', 'the', 'quarter', ',', 'which', 'would', 'have', 'been', 'up', 'significantly', 'versus', 'last', 'year', ',', 'Don', '.'], 'sentence_id': 'B495E5F8-BF51-4DD9-8F3E-94972A1CF1A2_001_090_000_000'}",B495E5F8-BF51-4DD9-8F3E-94972A1CF1A2_001_090_000_000,-1
And how about Weiser?,"{'company_name': 'Masco Corp', 'economic_sector': 'Consumer Cyclicals', 'date': '07-May-2001', 'event_name': 'Q1 2001 Masco Earnings Conference Call', 'tokenized': ['And', 'how', 'about', 'Weiser', '?'], 'sentence_id': '4ED38A6A-7331-46DD-8DE9-7466D50818DC_000_042_000_000'}",4ED38A6A-7331-46DD-8DE9-7466D50818DC_000_042_000_000,0
"Yesterday our Board declared a quarterly cash dividend of CAD0.23 per common share, consistent with last quarter, and 10% higher than the quarterly dividend declared one year ago.","{'company_name': 'Canadian Western Bank', 'economic_sector': 'Financials', 'date': '03-Mar-2016', 'event_name': 'Q1 2016 Canadian Western Bank Earnings Call', 'tokenized': ['Yesterday', 'our', 'Board', 'declared', 'a', 'quarterly', 'cash', 'dividend', 'of', 'CAD0.23', 'per', 'common', 'share', ',', 'consistent', 'with', 'last', 'quarter', ',', 'and', '10', '%', 'higher', 'than', 'the', 'quarterly', 'dividend', 'declared', 'one', 'year', 'ago', '.'], 'sentence_id': 'DDA05FE0-5D2F-480B-AA34-17FA2FDDC960_000_001_060_000'}",DDA05FE0-5D2F-480B-AA34-17FA2FDDC960_000_001_060_000,1
"So I'm just curious what could drive the difference between such a dramatic change, and do you really have confidence, Bill, that that's on track so there is really nothing to fix at this point?","{'company_name': 'Yellow Corp', 'economic_sector': 'Industrials', 'date': '30-Jan-2004', 'event_name': 'Q4 2003 Yellow Roadway Corporation Earnings Conference Call', 'tokenized': ['So', 'I', ""'m"", 'just', 'curious', 'what', 'could', 'drive', 'the', 'difference', 'between', 'such', 'a', 'dramatic', 'change', ',', 'and', 'do', 'you', 'really', 'have', 'confidence', ',', 'Bill', ',', 'that', 'that', ""'s"", 'on', 'track', 'so', 'there', 'is', 'really', 'nothing', 'to', 'fix', 'at', 'this', 'point', '?'], 'sentence_id': '69005084-F379-428A-BD35-22C4EBB53746_001_085_000_004'}",69005084-F379-428A-BD35-22C4EBB53746_001_085_000_004,-1
"Good morning and thank you, Jeff.","{'company_name': 'American Water Works Company Inc', 'economic_sector': 'Utilities', 'date': '27-Feb-2012', 'event_name': 'Q4 2011 American Water Works Company, Inc. Earnings Conference Call', 'tokenized': ['Good', 'morning', 'and', 'thank', 'you', ',', 'Jeff', '.'], 'sentence_id': '16116F7E-C8D2-425D-9324-9319A6E25263_000_003_000_000'}",16116F7E-C8D2-425D-9324-9319A6E25263_000_003_000_000,0
Yes.,"{'company_name': 'Universal Corp', 'economic_sector': 'Consumer Non-Cyclicals', 'date': '04-Aug-2021', 'event_name': 'Q1 2022 Universal Corp Earnings Call', 'tokenized': ['Yes', '.'], 'sentence_id': 'C8E085D0-A5EF-44EE-BEDB-E2678C7E9B2E_001_006_000_000'}",C8E085D0-A5EF-44EE-BEDB-E2678C7E9B2E_001_006_000_000,0
"And, how should we think about the trend of backlog as we move through Q3 into Q4?","{'company_name': 'Cornerstone Building Brands Inc', 'economic_sector': None, 'date': '04-Jun-2013', 'event_name': 'Q2 2013 NCI BUILDING SYS INC Earnings Conference Call', 'tokenized': ['And', ',', 'how', 'should', 'we', 'think', 'about', 'the', 'trend', 'of', 'backlog', 'as', 'we', 'move', 'through', 'Q3', 'into', 'Q4', '?'], 'sentence_id': '147B15E8-C190-41B3-BDAE-FA93D0DBE2EB_001_044_000_003'}",147B15E8-C190-41B3-BDAE-FA93D0DBE2EB_001_044_000_003,-1
"So we are, through the SG&A, investing in the future which has increased the SG&A level in 2010 compared to 2009.","{'company_name': 'NKT A/S', 'economic_sector': 'Industrials', 'date': '16-Nov-2010', 'event_name': 'Q3 2010 NKT  Holding A/S Earnings Conference Call', 'tokenized': ['So', 'we', 'are', ',', 'through', 'the', 'SG&A', ',', 'investing', 'in', 'the', 'future', 'which', 'has', 'increased', 'the', 'SG&A', 'level', 'in', '2010', 'compared', 'to', '2009', '.'], 'sentence_id': '8A6ED5E3-51AF-4832-BE89-15AA9BE63FDC_001_006_002_002'}",8A6ED5E3-51AF-4832-BE89-15AA9BE63FDC_001_006_002_002,1
"We expect third quarter revenue to be in the range of 118 to $120 million, which includes 18 to $20 million in revenue from Pharmacy Benefit Services.","{'company_name': 'Mckesson Corp', 'economic_sector': 'Healthcare', 'date': '21-Mar-2005', 'event_name': 'Q2 2005 NDCHealth Earnings Conference Call', 'tokenized': ['We', 'expect', 'third', 'quarter', 'revenue', 'to', 'be', 'in', 'the', 'range', 'of', '118', 'to', '$', '120', 'million', ',', 'which', 'includes', '18', 'to', '$', '20', 'million', 'in', 'revenue', 'from', 'Pharmacy', 'Benefit', 'Services', '.'], 'sentence_id': '1F0D59D7-266E-4461-8294-086D403AF785_000_003_096_001'}",1F0D59D7-266E-4461-8294-086D403AF785_000_003_096_001,1
.,"{'company_name': 'Integrated Device Technology Inc', 'economic_sector': None, 'date': '22-Oct-2003', 'event_name': 'Q1 2004 Integrated Circuit Systems Earnings Conference Call', 'tokenized': ['.'], 'sentence_id': '3A71ECC8-CA14-4EFA-A4F2-B344AE77794A_001_072_000_001'}",3A71ECC8-CA14-4EFA-A4F2-B344AE77794A_001_072_000_001,0
"In the years ahead, we'll invest to accelerate the energy transition for all of our customers in regulated electricity and gas networks and adjacent infrastructure that supports the goal of energy decarbonization.","{'company_name': 'National Grid PLC', 'economic_sector': 'Utilities', 'date': '20-May-2021', 'event_name': 'Full Year 2021 National Grid PLC Earnings Call', 'tokenized': ['In', 'the', 'years', 'ahead', ',', 'we', ""'ll"", 'invest', 'to', 'accelerate', 'the', 'energy', 'transition', 'for', 'all', 'of', 'our', 'customers', 'in', 'regulated', 'electricity', 'and', 'gas', 'networks', 'and', 'adjacent', 'infrastructure', 'that', 'supports', 'the', 'goal', 'of', 'energy', 'decarbonization', '.'], 'sentence_id': '9185692D-FE26-4E77-95F5-BB6B0CC46989_000_003_024_000'}",9185692D-FE26-4E77-95F5-BB6B0CC46989_000_003_024_000,1
"Are you seeing an increase in your cost of goods sold because of the rising petro, you know, petroleum prices?","{'company_name': 'Brady Corp', 'economic_sector': 'Industrials', 'date': '15-Sep-2004', 'event_name': 'Q4 2004 Brady Corporation Earnings Conference Call', 'tokenized': ['Are', 'you', 'seeing', 'an', 'increase', 'in', 'your', 'cost', 'of', 'goods', 'sold', 'because', 'of', 'the', 'rising', 'petro', ',', 'you', 'know', ',', 'petroleum', 'prices', '?'], 'sentence_id': '3FF9DC33-E4FA-4EF6-825F-21D5BEADC084_001_079_000_002'}",3FF9DC33-E4FA-4EF6-825F-21D5BEADC084_001_079_000_002,-1
I'm looking forward to working closely with Cynthia in an operating capacity as we continue to drive the business forward.,"{'company_name': 'DocuSign Inc', 'economic_sector': 'Technology', 'date': '03-Sep-2020', 'event_name': 'Q2 2021 DocuSign Inc Earnings Call', 'tokenized': ['I', ""'m"", 'looking', 'forward', 'to', 'working', 'closely', 'with', 'Cynthia', 'in', 'an', 'operating', 'capacity', 'as', 'we', 'continue', 'to', 'drive', 'the', 'business', 'forward', '.'], 'sentence_id': '2692922F-1331-4F2B-A3EE-4CD8FD64191E_000_002_036_004'}",2692922F-1331-4F2B-A3EE-4CD8FD64191E_000_002_036_004,1
So where were the improvements being seen?,"{'company_name': 'Umicore SA', 'economic_sector': 'Basic Materials', 'date': '31-Jul-2014', 'event_name': 'Half Year 2014 Umicore SA Earnings Call', 'tokenized': ['So', 'where', 'were', 'the', 'improvements', 'being', 'seen', '?'], 'sentence_id': 'C3025551-DC7B-4370-90E7-5C4B584EEFD7_001_035_004_001'}",C3025551-DC7B-4370-90E7-5C4B584EEFD7_001_035_004_001,-1
Dawn will be providing additional details on the financial impact of the tax changes later in this conference call.,"{'company_name': 'United Fire Group Inc', 'economic_sector': 'Financials', 'date': '14-Feb-2018', 'event_name': 'Q4 2017 United Fire Group Inc Earnings Call', 'tokenized': ['Dawn', 'will', 'be', 'providing', 'additional', 'details', 'on', 'the', 'financial', 'impact', 'of', 'the', 'tax', 'changes', 'later', 'in', 'this', 'conference', 'call', '.'], 'sentence_id': 'EBDAFF61-F811-4250-AA9E-42DE28808924_000_002_004_003'}",EBDAFF61-F811-4250-AA9E-42DE28808924_000_002_004_003,0
So we think our tenant population is not in the stressed position right now.,"{'company_name': 'EPR Properties', 'economic_sector': 'Real Estate', 'date': '28-Jul-2009', 'event_name': 'Q2 2009 Entertainment Properties Trust Earnings Conference Call', 'tokenized': ['So', 'we', 'think', 'our', 'tenant', 'population', 'is', 'not', 'in', 'the', 'stressed', 'position', 'right', 'now', '.'], 'sentence_id': '48CA963A-F324-4E45-9D36-E17671C8F416_001_007_000_001'}",48CA963A-F324-4E45-9D36-E17671C8F416_001_007_000_001,1
"No, traditionally we do a full review of our environmental sites, typically one time a year.","{'company_name': 'Magellan Midstream Partners LP', 'economic_sector': 'Energy', 'date': '27-Oct-2003', 'event_name': 'Q3 2003 Magellan Midstream Partners L.P. Earnings Conference Call', 'tokenized': ['No', ',', 'traditionally', 'we', 'do', 'a', 'full', 'review', 'of', 'our', 'environmental', 'sites', ',', 'typically', 'one', 'time', 'a', 'year', '.'], 'sentence_id': 'B66466B6-67E2-4036-B709-4F6F9B2FBD62_001_017_000_000'}",B66466B6-67E2-4036-B709-4F6F9B2FBD62_001_017_000_000,0
"With the additional SGD45 million, assuming an 80% to 90% flow through in terms of income, that would bring the margin up to about 50% at the EBITDA margin level.","{'company_name': 'Capitaland Ltd', 'economic_sector': 'Real Estate', 'date': '05-Aug-2014', 'event_name': 'Q2 2014 CapitaLand Limited Earnings Presentation', 'tokenized': ['With', 'the', 'additional', 'SGD45', 'million', ',', 'assuming', 'an', '80', '%', 'to', '90', '%', 'flow', 'through', 'in', 'terms', 'of', 'income', ',', 'that', 'would', 'bring', 'the', 'margin', 'up', 'to', 'about', '50', '%', 'at', 'the', 'EBITDA', 'margin', 'level', '.'], 'sentence_id': '7E843923-5BE8-4A38-88D0-FA20D761A3A2_001_014_004_002'}",7E843923-5BE8-4A38-88D0-FA20D761A3A2_001_014_004_002,1
And I think the other comment is that we have a variety of consultants.,"{'company_name': 'Geron Corp', 'economic_sector': 'Healthcare', 'date': '02-Nov-2023', 'event_name': 'Q3 2023 Geron Corp Earnings Call', 'tokenized': ['And', 'I', 'think', 'the', 'other', 'comment', 'is', 'that', 'we', 'have', 'a', 'variety', 'of', 'consultants', '.'], 'sentence_id': '20B3EFA0-C4AC-40B3-B683-2623427C5479_001_020_004_000'}",20B3EFA0-C4AC-40B3-B683-2623427C5479_001_020_004_000,0
In fact some of it hasn't even been ordered yet so it's lying in hardware backlog.,"{'company_name': 'Jack Henry & Associates Inc', 'economic_sector': 'Technology', 'date': '20-Oct-2004', 'event_name': 'Q1 2005 Jack Henry & Associates Earnings Conference Call', 'tokenized': ['In', 'fact', 'some', 'of', 'it', 'has', ""n't"", 'even', 'been', 'ordered', 'yet', 'so', 'it', ""'s"", 'lying', 'in', 'hardware', 'backlog', '.'], 'sentence_id': 'A5C1BEE8-FB17-429B-B720-D2BA3F37F4AA_001_037_000_004'}",A5C1BEE8-FB17-429B-B720-D2BA3F37F4AA_001_037_000_004,-1
"In India, driven by performance of key brand and new product launches in the last two years, our performance was better than overall market growth.","{'company_name': ""Dr Reddy's Laboratories Ltd"", 'economic_sector': 'Healthcare', 'date': '27-Jul-2006', 'event_name': ""Q1 2007 Dr. Reddy's Laboratories Earnings Conference Call"", 'tokenized': ['In', 'India', ',', 'driven', 'by', 'performance', 'of', 'key', 'brand', 'and', 'new', 'product', 'launches', 'in', 'the', 'last', 'two', 'years', ',', 'our', 'performance', 'was', 'better', 'than', 'overall', 'market', 'growth', '.'], 'sentence_id': '107181EA-F069-45F2-AB68-F8811B9B5494_000_003_006_003'}",107181EA-F069-45F2-AB68-F8811B9B5494_000_003_006_003,1
So I think it's a lot of questions in this area but that's especially when China Mobile says that this year volume is going to be 100 million units.,"{'company_name': 'Marvell Technology Inc', 'economic_sector': 'Technology', 'date': '22-May-2014', 'event_name': 'Q1 2015 Marvell Technology Group Ltd. Earnings Conference Call', 'tokenized': ['So', 'I', 'think', 'it', ""'s"", 'a', 'lot', 'of', 'questions', 'in', 'this', 'area', 'but', 'that', ""'s"", 'especially', 'when', 'China', 'Mobile', 'says', 'that', 'this', 'year', 'volume', 'is', 'going', 'to', 'be', '100', 'million', 'units', '.'], 'sentence_id': 'EA1AA467-E74A-46BA-8F22-4E5134E80005_001_009_000_000'}",EA1AA467-E74A-46BA-8F22-4E5134E80005_001_009_000_000,0
"I think, Alexia, the pressure remains intense to control expenses.","{'company_name': 'Modem Media Inc', 'economic_sector': 'Consumer Cyclicals', 'date': '05-Aug-2003', 'event_name': 'Q2 2003 Modem Media Earnings Conference Call', 'tokenized': ['I', 'think', ',', 'Alexia', ',', 'the', 'pressure', 'remains', 'intense', 'to', 'control', 'expenses', '.'], 'sentence_id': '65ABFE83-6C1B-4EB3-AB8A-679F5BCDB7EC_001_002_000_000'}",65ABFE83-6C1B-4EB3-AB8A-679F5BCDB7EC_001_002_000_000,-1
Okay.,"{'company_name': 'Altria Group Inc', 'economic_sector': 'Consumer Non-Cyclicals', 'date': '31-Jul-2008', 'event_name': 'Q2 2008 Altria Group, Inc. Earnings Conference Call', 'tokenized': ['Okay', '.'], 'sentence_id': '3D12C0EE-24F5-4DF1-B227-A4F61B257BA6_001_036_000_000'}",3D12C0EE-24F5-4DF1-B227-A4F61B257BA6_001_036_000_000,0
The main factor was an increase in profit from the partial reversal of provisions associated with the withdrawal from Multigrain recorded in the previous fiscal year.,"{'company_name': 'Mitsui & Co Ltd', 'economic_sector': 'Industrials', 'date': '02-Aug-2018', 'event_name': 'Q1 2019 Mitsui & Co Ltd Earnings Presentation', 'tokenized': ['The', 'main', 'factor', 'was', 'an', 'increase', 'in', 'profit', 'from', 'the', 'partial', 'reversal', 'of', 'provisions', 'associated', 'with', 'the', 'withdrawal', 'from', 'Multigrain', 'recorded', 'in', 'the', 'previous', 'fiscal', 'year', '.'], 'sentence_id': '1A5D3B2F-89F7-4AE9-BB09-6D97ECF900D6_000_001_012_001'}",1A5D3B2F-89F7-4AE9-BB09-6D97ECF900D6_000_001_012_001,1
"Finally, our third objective was to work with each hotel to identify opportunities within the portfolio to improve both sales strategies and reduce operating costs.","{'company_name': 'Diamondrock Hospitality Co', 'economic_sector': 'Real Estate', 'date': '08-Nov-2013', 'event_name': 'Q3 2013 DIAMONDROCK HOSPITALITY CO Earnings Conference Call', 'tokenized': ['Finally', ',', 'our', 'third', 'objective', 'was', 'to', 'work', 'with', 'each', 'hotel', 'to', 'identify', 'opportunities', 'within', 'the', 'portfolio', 'to', 'improve', 'both', 'sales', 'strategies', 'and', 'reduce', 'operating', 'costs', '.'], 'sentence_id': 'F3CFFF5C-26A3-47BA-80A5-7E9F18E0C461_000_003_018_000'}",F3CFFF5C-26A3-47BA-80A5-7E9F18E0C461_000_003_018_000,1
"While we cannot give guidance on program timing, we can say that the pace of the collaboration has been rapid, and Amgen has been a wonderful partner to work with.","{'company_name': 'Arrowhead Pharmaceuticals Inc', 'economic_sector': 'Healthcare', 'date': '03-May-2017', 'event_name': 'Q2 2017 Arrowhead Pharmaceuticals Inc Earnings Call', 'tokenized': ['While', 'we', 'can', 'not', 'give', 'guidance', 'on', 'program', 'timing', ',', 'we', 'can', 'say', 'that', 'the', 'pace', 'of', 'the', 'collaboration', 'has', 'been', 'rapid', ',', 'and', 'Amgen', 'has', 'been', 'a', 'wonderful', 'partner', 'to', 'work', 'with', '.'], 'sentence_id': '66EAECCD-09FC-4DFA-B4D4-762459339628_000_003_020_003'}",66EAECCD-09FC-4DFA-B4D4-762459339628_000_003_020_003,1
"Our operating ratio improved 970 basis points to 58.7%, a substantial improvement and a record third quarter for CSX.","{'company_name': 'CSX Corp', 'economic_sector': 'Industrials', 'date': '16-Oct-2018', 'event_name': 'Q3 2018 CSX Corp Earnings Call', 'tokenized': ['Our', 'operating', 'ratio', 'improved', '970', 'basis', 'points', 'to', '58.7', '%', ',', 'a', 'substantial', 'improvement', 'and', 'a', 'record', 'third', 'quarter', 'for', 'CSX', '.'], 'sentence_id': '7C6B0262-18E1-447F-8C6C-1BB1EF7254B7_000_002_006_007'}",7C6B0262-18E1-447F-8C6C-1BB1EF7254B7_000_002_006_007,1
We expect custom parts revenue growth from a combination of organic growth and additional acquisitions.,"{'company_name': '3D Systems Corp', 'economic_sector': 'Technology', 'date': '28-Jul-2011', 'event_name': 'Q2 2011 3D Systems Corp Earnings Conference Call', 'tokenized': ['We', 'expect', 'custom', 'parts', 'revenue', 'growth', 'from', 'a', 'combination', 'of', 'organic', 'growth', 'and', 'additional', 'acquisitions', '.'], 'sentence_id': '278D7FF7-449D-435C-9D45-D8618D2FABB9_000_004_002_002'}",278D7FF7-449D-435C-9D45-D8618D2FABB9_000_004_002_002,1
"So until now, we have only explored a model of subscription for this service.","{'company_name': 'Info Edge (India) Ltd', 'economic_sector': 'Technology', 'date': '12-Aug-2022', 'event_name': 'Q1 2023 Info Edge (India) Ltd Earnings Call', 'tokenized': ['So', 'until', 'now', ',', 'we', 'have', 'only', 'explored', 'a', 'model', 'of', 'subscription', 'for', 'this', 'service', '.'], 'sentence_id': '7DA0B6D8-2CE5-4FE3-8468-5E381ACE1E19_001_055_000_002'}",7DA0B6D8-2CE5-4FE3-8468-5E381ACE1E19_001_055_000_002,-1
"And then with regards to occupancy, you have had a positive move up over the last few quarters.","{'company_name': 'BTB Real Estate Investment Trust', 'economic_sector': 'Real Estate', 'date': '14-Mar-2018', 'event_name': 'Q4 2017 Btb Real Estate Investment Trust Earnings Call', 'tokenized': ['And', 'then', 'with', 'regards', 'to', 'occupancy', ',', 'you', 'have', 'had', 'a', 'positive', 'move', 'up', 'over', 'the', 'last', 'few', 'quarters', '.'], 'sentence_id': 'A5D54856-418E-4C12-81E7-F8A20FAD26AF_001_029_000_001'}",A5D54856-418E-4C12-81E7-F8A20FAD26AF_001_029_000_001,1
"On the financial metrics, Cyient continues to generate strong free cash flow.","{'company_name': 'Cyient Ltd', 'economic_sector': 'Technology', 'date': '15-Oct-2015', 'event_name': 'Half Year 2016 Cyient Ltd Earnings Call', 'tokenized': ['On', 'the', 'financial', 'metrics', ',', 'Cyient', 'continues', 'to', 'generate', 'strong', 'free', 'cash', 'flow', '.'], 'sentence_id': '4446381B-D049-4DB2-932D-C32017C832DE_000_005_006_000'}",4446381B-D049-4DB2-932D-C32017C832DE_000_005_006_000,1
We have not identified any trends in the business causing this severity.,"{'company_name': 'National Interstate Corp', 'economic_sector': 'Financials', 'date': '03-Nov-2010', 'event_name': 'Q3 2010 NATIONAL INTERSTATE CORP Earnings Conference Call', 'tokenized': ['We', 'have', 'not', 'identified', 'any', 'trends', 'in', 'the', 'business', 'causing', 'this', 'severity', '.'], 'sentence_id': 'FD629175-9F0C-4C13-96A0-3984185238F0_000_002_022_001'}",FD629175-9F0C-4C13-96A0-3984185238F0_000_002_022_001,-1
"I think as we go through this year, we'll see a run rate similar to where we had in the first quarter.","{'company_name': 'Patriot Coal Corp', 'economic_sector': 'Energy', 'date': '21-Apr-2011', 'event_name': 'Q1 2011 Patriot Coal Corp Earnings Conference Call', 'tokenized': ['I', 'think', 'as', 'we', 'go', 'through', 'this', 'year', ',', 'we', ""'ll"", 'see', 'a', 'run', 'rate', 'similar', 'to', 'where', 'we', 'had', 'in', 'the', 'first', 'quarter', '.'], 'sentence_id': '4E885841-350B-456A-8060-73F7AE403624_001_093_000_000'}",4E885841-350B-456A-8060-73F7AE403624_001_093_000_000,1
"So we're highly confident in treaty, reported good spread, we're continuing to see that on our advertising side.","{'company_name': 'System1 Inc', 'economic_sector': 'Technology', 'date': '11-Aug-2022', 'event_name': 'Q2 2022 System1 Inc Earnings Call', 'tokenized': ['So', 'we', ""'re"", 'highly', 'confident', 'in', 'treaty', ',', 'reported', 'good', 'spread', ',', 'we', ""'re"", 'continuing', 'to', 'see', 'that', 'on', 'our', 'advertising', 'side', '.'], 'sentence_id': 'F4EBB914-0A45-494D-9017-D326D404DF15_001_012_000_003'}",F4EBB914-0A45-494D-9017-D326D404DF15_001_012_000_003,1
